Variable,Región,Valor,Anomalía,Rank,Percentil,Récord,Frase
T media,Colombia,24.790878748204783,0.7328048083406316,5/36,p89,25.8°C (2024),Posición 5 de 36
T media,Caribe,26.04962805331684,-0.47731999564211947,27/36,p28,28.6°C (2016),Posición 27 de 36
T media,Andina,19.531388339600753,-0.18212133342075276,20/36,p47,21.5°C (2024),Posición 20 de 36
T media,Pacifica,22.07787829268369,0.6009273787155927,7/36,p83,22.7°C (2024),Posición 7 de 36
T media,Orinoquia,27.749298216079477,1.4531850287794512,4/36,p92,28.4°C (2024),Posición 4 de 36
T media,Amazonia,26.235144866160596,1.2015600401763606,2/36,p97,26.6°C (2024),2.o marzo más cálido de 36
Tmax,Colombia,29.095053992809017,0.7708852778772446,6/36,p86,30.4°C (2024),Posición 6 de 36
Tmax,Caribe,30.043658712746122,-1.1275446657682977,30/36,p19,33.8°C (2016),Posición 30 de 36
Tmax,Andina,23.657017003858314,-0.4962209525091872,24/36,p36,26.3°C (2024),Posición 24 de 36
Tmax,Pacifica,25.744227980795326,0.7930665187490717,6/36,p86,26.2°C (1998),Posición 6 de 36
Tmax,Orinoquia,32.29552737213623,1.5895277977941262,3/36,p94,33.2°C (2024),3.er marzo más cálido de 36
Tmax,Amazonia,30.77787493496365,1.5425135379345107,2/36,p97,31.1°C (2024),2.o marzo más cálido de 36
Tmin,Colombia,21.678860357503464,0.5977500035633696,7/36,p83,22.5°C (2024),Posición 7 de 36
Tmin,Caribe,23.069583462078963,-0.12135282782277557,22/36,p42,24.8°C (2016),Posición 22 de 36
Tmin,Andina,16.539240809972725,0.119146732981676,13/36,p67,17.9°C (2016),Posición 13 de 36
Tmin,Pacifica,19.587684290917117,0.35212658686834786,8/36,p81,20.4°C (2024),Posición 8 de 36
Tmin,Orinoquia,23.985164931201503,1.1709470232490844,4/36,p92,24.6°C (2024),Posición 4 de 36
Tmin,Amazonia,23.241583438529457,0.798828182846254,6/36,p86,23.8°C (2024),Posición 6 de 36
