Variable,Región,T mes (°C),Anomalía media (°C),Anom. p10 (°C),Anom. p50 (°C),Anom. p90 (°C),% área anom>0,% área >+1°C,% área <−1°C
T media,Colombia,23.979490740776907,0.4369650093228443,-0.14925925920389468,0.5391632896317171,0.8670060631675783,83.8,3.6,0.5
T media,Caribe,26.1110097354373,0.15084368866354178,-0.17914597523065603,0.14835372006083827,0.5543287195726546,69.8,0.4,0.9
T media,Andina,19.502203955840216,0.0010743620828251204,-0.5532758776346968,0.006672086050540745,0.5566650194269932,50.1,1.9,1.8
T media,Pacifica,22.027606098774818,0.6279538801566416,0.10364790711195083,0.7272356468537718,1.0704645353996092,88.5,14.5,0.1
T media,Orinoquia,25.497704944432567,0.3979155686136396,0.0866388630233996,0.41383908365012445,0.7575376921401246,93.9,0.2,0.1
T media,Amazonia,25.403365649067325,0.7348972703112248,0.5716594057222677,0.7425633078162422,0.9143925195131458,99.2,4.2,0.0
Tmax,Colombia,27.984055448020023,0.5416486887360199,-0.3272895973715492,0.607763378096385,1.2951640974468726,77.3,32.3,1.6
Tmax,Caribe,29.9631804456882,-0.013293242646501797,-0.5383754645453543,-0.04005352274577163,0.5850920592251929,45.2,0.7,1.3
Tmax,Andina,23.523233238073185,-0.08485541025408945,-0.8647421022002996,-0.045921852493351865,0.5760980590803435,46.1,2.9,6.9
Tmax,Pacifica,25.54224769123854,0.8537086706769321,0.03499832831488412,0.9280156177944634,1.554109058957608,86.3,44.1,0.2
Tmax,Orinoquia,29.385199937620566,0.40946423513298086,-0.08723177969429498,0.305798674495806,1.1179357443989135,83.2,16.2,0.3
Tmax,Amazonia,29.673389706524354,1.052752409225607,0.7121565260500635,1.1014593861594817,1.3823073931398093,98.7,65.4,0.1
Tmin,Colombia,21.30446499952369,0.33091849220611985,-0.07590923279102238,0.39046339746258363,0.6398716073115548,85.9,1.7,0.5
Tmin,Caribe,23.3970035982824,0.1927792601021776,-0.09866977350249403,0.18015492557109697,0.568960897734676,76.3,1.1,1.2
Tmin,Andina,16.594326060742677,0.05454750189846294,-0.5868884669409887,0.08493185673030276,0.6175571394448908,57.9,2.0,1.8
Tmin,Pacifica,19.7351354719508,0.40569101027706017,-0.02194854458235651,0.4152555376646063,0.802955199384062,83.6,3.5,0.1
Tmin,Orinoquia,22.804431951451477,0.4071708094949796,0.22563391978583539,0.4448071447974168,0.5852493213581207,95.2,0.4,0.1
Tmin,Amazonia,22.763109194140437,0.45554776457405266,0.2731687473093483,0.4300663635506652,0.6322149419474382,99.5,2.1,0.0
