variable,year,region,value,clim,anomaly
tmean,1991,Caribe,26.344548525322537,26.52694804895896,-0.1823995236364233
tmean,1991,Andina,19.424989702082826,19.713509673021505,-0.28851997093867965
tmean,1991,Pacifica,21.419336351862903,21.476950913968096,-0.057614562105193556
tmean,1991,Orinoquia,25.563518536501437,26.296113187300026,-0.732594650798589
tmean,1991,Amazonia,25.148977542420678,25.033584825984235,0.11539271643644256
tmean,1991,Colombia,23.848987672369233,24.05807393986415,-0.20908626749491788
tmean,1992,Caribe,26.947121041567073,26.52694804895896,0.42017299260811214
tmean,1992,Andina,20.23678232592534,19.713509673021505,0.5232726529038345
tmean,1992,Pacifica,21.917405509645622,21.476950913968096,0.4404545956775259
tmean,1992,Orinoquia,26.461056103589264,26.296113187300026,0.16494291628923818
tmean,1992,Amazonia,25.247959688489804,25.033584825984235,0.2143748625055686
tmean,1992,Colombia,24.369626966470296,24.05807393986415,0.3115530266061448
tmean,1993,Caribe,25.800994690419945,26.52694804895896,-0.7259533585390159
tmean,1993,Andina,18.99085856439535,19.713509673021505,-0.722651108626156
tmean,1993,Pacifica,21.072611424247256,21.476950913968096,-0.4043394897208401
tmean,1993,Orinoquia,24.6689993354702,26.296113187300026,-1.6271138518298258
tmean,1993,Amazonia,23.995208635384586,25.033584825984235,-1.0383761905996494
tmean,1993,Colombia,23.05215276542551,24.05807393986415,-1.0059211744386403
tmean,1994,Caribe,25.410293711083977,26.52694804895896,-1.1166543378749836
tmean,1994,Andina,18.875147418490805,19.713509673021505,-0.8383622545307006
tmean,1994,Pacifica,20.84707344973029,21.476950913968096,-0.6298774642378078
tmean,1994,Orinoquia,25.210251853201218,26.296113187300026,-1.0858613340988086
tmean,1994,Amazonia,24.49463014110937,25.033584825984235,-0.5389546848748665
tmean,1994,Colombia,23.260987778965227,24.05807393986415,-0.7970861608989246
tmean,1995,Caribe,26.575493552675894,26.52694804895896,0.04854550371693378
tmean,1995,Andina,19.593837546475537,19.713509673021505,-0.11967212654596793
tmean,1995,Pacifica,21.51771232114734,21.476950913968096,0.04076140717924304
tmean,1995,Orinoquia,26.053421564232004,26.296113187300026,-0.24269162306802272
tmean,1995,Amazonia,25.054822959163168,25.033584825984235,0.021238133178933083
tmean,1995,Colombia,23.996895714569803,24.05807393986415,-0.061178225294348465
tmean,1996,Caribe,25.511472572606163,26.52694804895896,-1.0154754763527976
tmean,1996,Andina,19.015842739944564,19.713509673021505,-0.6976669330769418
tmean,1996,Pacifica,20.969594400108942,21.476950913968096,-0.507356513859154
tmean,1996,Orinoquia,26.645353441896454,26.296113187300026,0.3492402545964275
tmean,1996,Amazonia,25.08739627141614,25.033584825984235,0.0538114454319043
tmean,1996,Colombia,23.849969451458957,24.05807393986415,-0.20810448840519413
tmean,1997,Caribe,26.52295562585172,26.52694804895896,-0.003992423107241905
tmean,1997,Andina,19.64095944223583,19.713509673021505,-0.07255023078567646
tmean,1997,Pacifica,21.761639618331376,21.476950913968096,0.28468870436327975
tmean,1997,Orinoquia,26.19851210375792,26.296113187300026,-0.09760108354210573
tmean,1997,Amazonia,25.323341670906974,25.033584825984235,0.28975684492273857
tmean,1997,Colombia,24.15508135488574,24.05807393986415,0.09700741502159005
tmean,1998,Caribe,27.466874679031026,26.52694804895896,0.9399266300720654
tmean,1998,Andina,20.93288969563356,19.713509673021505,1.2193800226120537
tmean,1998,Pacifica,22.66558134873354,21.476950913968096,1.188630434765443
tmean,1998,Orinoquia,26.885561741748255,26.296113187300026,0.5894485544482286
tmean,1998,Amazonia,25.779780933414354,25.033584825984235,0.7461961074301193
tmean,1998,Colombia,24.931511992440107,24.05807393986415,0.8734380525759562
tmean,1999,Caribe,25.387647521763,26.52694804895896,-1.1393005271959602
tmean,1999,Andina,18.733498007388814,19.713509673021505,-0.9800116656326914
tmean,1999,Pacifica,20.742364396122067,21.476950913968096,-0.7345865178460294
tmean,1999,Orinoquia,25.374844213678063,26.296113187300026,-0.921268973621963
tmean,1999,Amazonia,24.816216998139545,25.033584825984235,-0.21736782784469
tmean,1999,Colombia,23.370720863960265,24.05807393986415,-0.6873530759038857
